Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
601766,中国中车,2026-08-06,5.93,-0.34%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-3.05%, -1.33%) | 趋势: 高于MA20",5.90,5.71,0.81X
600796,钱江生化,2026-08-06,5.03,0.60%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4.86,5.05,0.77X
605368,蓝天燃气,2026-08-14,6.58,0.46%,"形态: 两连阴 (-1.47%, -2.09%)",6.70,6.72,0.70X
000001,平安银行,2026-08-06,11.27,0.18%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.55%, -1.66%) | 趋势: 高于MA20",11.07,10.85,0.76X
002494,华斯股份,2026-08-14,4.74,0.00%,趋势: 高于MA20,4.48,5.09,0.97X
603456,九洲药业,2026-08-06,15.18,-1.81%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,14.91,13.71,0.93X
600123,兰花科创,2026-08-06,6.99,0.87%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),6.51,6.42,1.28X
600403,大有能源,2026-08-06,6.41,9.95%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.48,5.80,1.25X
001914,招商积余,2026-08-28,8.87,2.07%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),8.79,8.83,1.17X
002319,乐通股份,2026-08-14,10.9,-1.45%,"形态: 两连阴 (-1.57%, -2.21%) | 趋势: 高于MA20",10.79,11.11,0.50X
002187,广百股份,2026-08-14,5.31,-1.85%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,5.16,5.15,0.94X
600459,贵研铂业,2026-08-28,21.43,-1.61%,形态: 10日内有涨停 | 趋势: 高于MA20,21.16,22.27,0.89X
002705,新宝股份,2026-08-06,12.31,5.85%,量能: 放量 (2.39X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),11.49,11.92,2.39X
600415,小商品城,2026-08-28,12.46,1.47%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),12.19,11.33,0.79X
000863,三湘印象,2026-08-28,4.29,-0.69%,趋势: 高于MA20,4.13,4.15,0.82X
603628,清源股份,2026-08-14,9.53,-0.42%,趋势: 高于MA20,9.32,9.79,0.91X
002410,广联达,2026-08-14,9.17,-1.29%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.95%, -1.38%)",9.22,9.01,1.22X
603151,邦基科技,2026-08-06,12.61,1.45%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),11.93,12.45,0.94X
001318,阳光乳业,2026-08-28,11.76,2.44%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),11.32,10.73,1.27X
002540,亚太科技,2026-08-14,5.1,0.39%,趋势: 高于MA20,4.97,5.04,0.75X
000728,国元证券,2026-08-06,7.25,-1.09%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.27%, -0.27%)",7.30,7.26,0.95X
600739,辽宁成大,2026-08-06,10.72,-1.56%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.27%, -0.09%) | 趋势: 高于MA20",10.71,10.61,1.14X
